token_category,kinesis_token,usage_name,ui_representation
Keyboard Tokens,a,keyboard a and A,A
Keyboard Tokens,b,keyboard b and B,B
Keyboard Tokens,c,keyboard c and C,C
Keyboard Tokens,d,keyboard d and D,D
Keyboard Tokens,e,keyboard e and E,E
Keyboard Tokens,f,keyboard f and F,F
Keyboard Tokens,g,keyboard g and G,G
Keyboard Tokens,h,keyboard h and H,H
Keyboard Tokens,i,keyboard i and I,I
Keyboard Tokens,j,keyboard j and J,J
Keyboard Tokens,k,keyboard k and K,K
Keyboard Tokens,l,keyboard l and L,L
Keyboard Tokens,m,keyboard m and M,M
Keyboard Tokens,n,keyboard n and N,N
Keyboard Tokens,o,keyboard o and O,O
Keyboard Tokens,p,keyboard p and P,P
Keyboard Tokens,q,keyboard q and Q,Q
Keyboard Tokens,r,keyboard r and R,R
Keyboard Tokens,s,keyboard s and S,S
Keyboard Tokens,t,keyboard t and T,T
Keyboard Tokens,u,keyboard u and U,U
Keyboard Tokens,v,keyboard v and V,V
Keyboard Tokens,w,keyboard w and W,W
Keyboard Tokens,x,keyboard x and X,X
Keyboard Tokens,y,keyboard y and Y,Y
Keyboard Tokens,z,keyboard z and Z,Z
Keyboard Tokens,1,keyboard 1 and !,"!1"
Keyboard Tokens,2,keyboard 2 and @,"@2"
Keyboard Tokens,3,keyboard 3 and #,"#3"
Keyboard Tokens,4,keyboard 4 and $,"$4"
Keyboard Tokens,5,keyboard 5 and %,"%5"
Keyboard Tokens,6,keyboard 6 and ^,"^6"
Keyboard Tokens,7,keyboard 7 and &,"&7"
Keyboard Tokens,8,keyboard 8 and *,"*8"
Keyboard Tokens,9,keyboard 9 and (,"(9"
Keyboard Tokens,0,keyboard 0 and ),")0"
Keyboard Tokens,ent,keyboard Return,Enter
Keyboard Tokens,esc,keyboard ESCAPE,Esc
Keyboard Tokens,bspc,keyboard DELETE,Delete
Keyboard Tokens,tab,keyboard Tab,Tab
Keyboard Tokens,spc,keyboard Spacebar,Spacebar
Keyboard Tokens,hyph,keyboard - and (underscore),"_-"
Keyboard Tokens,eql,keyboard = and +,"+="
Keyboard Tokens,obrk,keyboard [ and {,"{["
Keyboard Tokens,cbrk,keyboard ] and },"}]"
Keyboard Tokens,bsls,keyboard \and |],"|\"
Keyboard Tokens,scol,keyboard ; and :,":;"
Keyboard Tokens,apos,keyboard ‘ and “,"""'"
Keyboard Tokens,grav,keyboard Grave Accent and Tilde,"~`"
Keyboard Tokens,comm,"keyboard], and <","<,"
Keyboard Tokens,perd,keyboard . and >,">."
Keyboard Tokens,fsls,keyboard / and ?,"?/"
Keyboard Tokens,caps,keyboard Caps Lock,Caps Lock
Keyboard Tokens,f1,keyboard F1,F1
Keyboard Tokens,f2,keyboard F2,F2
Keyboard Tokens,f3,keyboard F3,F3
Keyboard Tokens,f4,keyboard F4,F4
Keyboard Tokens,f5,keyboard F5,F5
Keyboard Tokens,f6,keyboard F6,F6
Keyboard Tokens,f7,keyboard F7,F7
Keyboard Tokens,f8,keyboard F8,F8
