kinesis_token	ui_representation	usage_name	token_category
a	A	keyboard a and A	Keyboard Tokens
b	B	keyboard b and B	Keyboard Tokens
c	C	keyboard c and C	Keyboard Tokens
d	D	keyboard d and D	Keyboard Tokens
e	E	keyboard e and E	Keyboard Tokens
f	F	keyboard f and F	Keyboard Tokens
g	G	keyboard g and G	Keyboard Tokens
h	H	keyboard h and H	Keyboard Tokens
i	I	keyboard i and I	Keyboard Tokens
j	J	keyboard j and J	Keyboard Tokens
k	K	keyboard k and K	Keyboard Tokens
l	L	keyboard l and L	Keyboard Tokens
m	M	keyboard m and M	Keyboard Tokens
n	N	keyboard n and N	Keyboard Tokens
o	O	keyboard o and O	Keyboard Tokens
p	P	keyboard p and P	Keyboard Tokens
q	Q	keyboard q and Q	Keyboard Tokens
r	R	keyboard r and R	Keyboard Tokens
s	S	keyboard s and S	Keyboard Tokens
t	T	keyboard t and T	Keyboard Tokens
u	U	keyboard u and U	Keyboard Tokens
v	V	keyboard v and V	Keyboard Tokens
w	W	keyboard w and W	Keyboard Tokens
x	X	keyboard x and X	Keyboard Tokens
y	Y	keyboard y and Y	Keyboard Tokens
z	Z	keyboard z and Z	Keyboard Tokens
1	1	keyboard 1 and !	Keyboard Tokens
2	2	keyboard 2 and @	Keyboard Tokens
3	3	keyboard 3 and #	Keyboard Tokens
4	4	keyboard 4 and $	Keyboard Tokens
5	5	keyboard 5 and %	Keyboard Tokens
6	6	keyboard 6 and ^	Keyboard Tokens
7	7	keyboard 7 and &	Keyboard Tokens
8	8	keyboard 8 and *	Keyboard Tokens
9	9	keyboard 9 and (	Keyboard Tokens
0	0	keyboard 0 and )	Keyboard Tokens
ent	Enter	keyboard Return  	Keyboard Tokens
esc	Esc	keyboard ESCAPE  	Keyboard Tokens
bspc	Delete	keyboard DELETE  	Keyboard Tokens
tab	Tab	keyboard Tab  	Keyboard Tokens
spc	Spacebar	keyboard Spacebar  	Keyboard Tokens
hyph	-	keyboard - and (underscore)	Keyboard Tokens
eql	=	keyboard = and +	Keyboard Tokens
obrk	[	keyboard [ and {	Keyboard Tokens
cbrk	]	keyboard ] and }	Keyboard Tokens
bsls	\	keyboard \ and | 	Keyboard Tokens
scol	;	keyboard ; and :	Keyboard Tokens
apos	'	"keyboard ‘ and """ 	Keyboard Tokens
grav	`	keyboard Grave Accent and tilde	Keyboard Tokens
comm	,	keyboard , and <	Keyboard Tokens
perd	.	keyboard . and >	Keyboard Tokens
fsls	/	keyboard / and ?	Keyboard Tokens
caps	CapsLock	keyboard Caps Lock 	Keyboard Tokens
f1	F1	keyboard F1  	Keyboard Tokens
f2	F2	keyboard F2  	Keyboard Tokens
f3	F3	keyboard F3  	Keyboard Tokens
f4	F4	keyboard F4  	Keyboard Tokens
f5	F5	keyboard F5  	Keyboard Tokens
f6	F6	keyboard F6  	Keyboard Tokens
f7	F7	keyboard F7  	Keyboard Tokens
f8	F8	keyboard F8  	Keyboard Tokens
f9	F9	keyboard F9  	Keyboard Tokens
f10	F10	keyboard F10  	Keyboard Tokens
f11	F11	keyboard F11  	Keyboard Tokens
f12	F12	keyboard F12  	Keyboard Tokens
prnt	PrtSc	keyboard Print Screen 	Keyboard Tokens
sclk	ScrLk	keyboard Scroll Lock 	Keyboard Tokens
paus	Pause	keyboard Pause  	Keyboard Tokens
ins	Insert	keyboard Insert  	Keyboard Tokens
home	Home	keyboard Home  	Keyboard Tokens
pgup	PgUp	keyboard Page Up 	Keyboard Tokens
del	Delete	keyboard Delete  	Keyboard Tokens
end	End	keyboard End  	Keyboard Tokens
pgdn	PgDn	keyboard Page Down 	Keyboard Tokens
rght	→	keyboard Right Arrow 	Keyboard Tokens
left	←	keyboard Left Arrow 	Keyboard Tokens
down	↓	keyboard Down Arrow 	Keyboard Tokens
up	↑	keyboard Up Arrow 	Keyboard Tokens
nmlk	NumLock	Keypad Num Lock and	Keyboard Tokens
kp/	/	keypad /  	Keyboard Tokens
kp*	*	keypad *  	Keyboard Tokens
kp-	-	keypad -  	Keyboard Tokens
kp+	+	keypad +  	Keyboard Tokens
